Meter Number,Node Id
Count,Outage.csv
SM10229495,400494
SM10229496,400518
SM10229498,400610
SM10229499,400488
SM10229500,400433
SM10229501,400150
SM10229502,400104
SM10229503,400124
SM10229504,400288
SM10229505,400254
SM10229506,400139
SM10229507,400260
SM10229508,400033
SM10229509,400178
SM10229510,400199
SM10229511,400386
SM10229512,400349
SM10229513,400587
SM10229514,400553
SM10229515,400620
SM10229516,400422
SM10229517,400382
SM10229518,400357
SM10229519,400385
SM10229521,400389
SM10229522,400390
SM10229523,400403
SM10229524,400346
SM10229525,400538
SM10229527,400334
SM10229529,400354
SM10229530,400615
SM10229542,400580
SM10229543,400554
SM10229544,400546
SM10229545,400527
SM10229546,400640
SM10229548,400473
SM10229549,400491
SM10229550,400523
SM10229562,400852
SM10229563,400859
SM10229564,400910
SM10229571,400109
SM10229572,400216
SM10229573,400287
SM10229574,400112
SM10229575,400055
SM10229576,400249
SM10229578,400092
SM10229579,400264
SM10229580,400138
SM10229581,400105
SM10229582,400004
SM10229583,400024
SM10229584,400292
SM10229585,400204
SM10229586,400047
SM10229587,400015
SM10229588,400214
SM10229589,400043
SM10229590,400065
SM10229591,400949
SM10229592,400836
SM10229593,400838
SM10229594,400970
SM10229595,400906
SM10229596,400929
SM10229597,400932
SM10229598,400848
SM10229599,400880
SM10229600,400662
SM10229601,400423
SM10229602,400484
SM10229603,400625
SM10229604,400449
SM10229605,400459
SM10229606,400535
SM10229608,400447
SM10229609,400482
SM10229610,400551
SM10229612,400824
SM10229613,400954
SM10229614,400854
SM10229615,400939
SM10229616,400855
SM10229617,400893
SM10229618,400959
SM10229619,400819
SM10229620,400875
SM10229621,400420
SM10229623,400417
SM10229624,400528
SM10229625,400479
SM10229626,400592
SM10229628,400463
SM10229629,400483
SM10229631,400176
SM10229632,400298
SM10229633,400002
SM10229634,400128
SM10229636,400267
SM10229638,400207
SM10229639,400290
SM10229640,400123
SM10229651,400874
SM10229652,400857
SM10229653,400967
SM10229654,400844
SM10229655,400902
SM10229657,400903
SM10229659,400907
SM10229660,400843
SM10229661,400976
SM10229662,400943
SM10229663,400870
SM10229664,400963
SM10229665,400856
SM10229667,400979
SM10229668,400845
SM10229669,400960
SM10229670,400825
SM10229672,400725
SM10229674,400747
SM10229676,400661
SM10229677,400748
SM10229678,400707
SM10229679,400753
SM10229680,400724
SM10229681,400510
SM10229682,400458
SM10229683,400443
SM10229686,400539
SM10229687,400475
SM10229688,400517
SM10229689,400478
SM10229690,400392
SM10229691,400969
SM10229692,400925
SM10229693,400912
SM10229694,400936
SM10229695,400877
SM10229696,400951
SM10229697,400837
SM10229698,400952
SM10229699,400944
SM10229700,400953
SM10229701,400811
SM10229702,400991
SM10229703,400905
SM10229704,400681
SM10229705,400751
SM10229706,400786
SM10229707,400990
SM10229708,400997
SM10229709,400665
SM10229710,400736
SM10229711,400206
SM10229712,400286
SM10229713,400007
SM10229714,400001
SM10229715,400018
SM10229716,400030
SM10229717,400180
SM10229718,400052
SM10229719,400121
SM10229720,400169
SM10229722,400967
SM10229723,400881
SM10229724,400872
SM10229725,400988
SM10229726,400832
SM10229727,400921
SM10229728,400841
SM10229729,400891
SM10229731,400316
SM10229732,400311
SM10229734,400276
SM10229735,400193
SM10229736,400040
SM10229737,400258
SM10229738,400173
SM10229740,400137
SM10229741,400246
SM10229742,400229
SM10229743,400317
SM10229745,400192
SM10229747,400143
SM10229751,400296
SM10229752,400102
SM10229753,400275
SM10229754,400110
SM10229755,400188
SM10229757,400160
SM10229759,400003
SM10229760,400301
SM10229762,400465
SM10229763,400651
SM10229764,400648
SM10229766,400348
SM10229767,400630
SM10229768,400537
SM10229771,400909
SM10229772,400860
SM10229773,400851
SM10229774,400968
SM10229775,400840
SM10229776,400931
SM10229777,400987
SM10229778,400966
SM10229779,400924
SM10229780,400814
SM10229781,400822
SM10229782,400773
SM10229783,400766
SM10229784,400750
SM10229785,400679
SM10229786,400792
SM10229787,400690
SM10229788,400730
SM10229789,400793
SM10229790,400696
SM10229791,400986
SM10229792,400865
SM10229793,400868
SM10229794,400899
SM10229796,400888
SM10229797,400817
SM10229798,400975
SM10229799,400978
SM10229800,400847
SM10229801,400684
SM10229802,400738
SM10229803,400743
SM10229804,400805
SM10229805,400803
SM10229806,400728
SM10229807,400688
SM10229808,400676
SM10229809,400754
SM10229810,400669
SM10229812,400666
SM10229813,400694
SM10229814,400722
SM10229815,400664
SM10229816,400685
SM10229817,400713
SM10229818,400788
SM10229819,400727
SM10229820,400716
SM10229821,400659
SM10229822,400502
SM10229823,400533
SM10229824,400612
SM10229826,400608
SM10229827,400633
SM10229828,400569
SM10229829,400645
SM10229830,400561
SM10229831,400571
SM10229834,400622
SM10229835,400448
SM10229837,400503
SM10229838,400638
SM10229839,400568
SM10229840,400581
SM10229842,400090
SM10229843,400058
SM10229844,400186
SM10229845,400245
SM10229846,400325
SM10229847,400297
SM10229848,400031
SM10229849,400141
SM10229850,400163
SM10229851,400667
SM10229852,400686
SM10229853,400715
SM10229854,400744
SM10229855,400756
SM10229856,400789
SM10229857,400729
SM10229858,400726
SM10229859,400668
SM10229860,400701
SM10229861,400200
SM10229862,400089
SM10229863,400179
SM10229864,400250
SM10229865,400219
SM10229866,400005
SM10229867,400068
SM10229869,400097
SM10229870,400056
SM10229871,400683
SM10229872,400708
SM10229873,400799
SM10229874,400741
SM10229875,400983
SM10229876,400764
SM10229877,400985
SM10229878,400677
SM10229879,400994
SM10229880,400809
SM10229882,400559
SM10229883,400481
SM10229884,400331
SM10229886,400380
SM10229887,400552
SM10229888,400372
SM10229889,400405
SM10229890,400655
SM10229891,400961
SM10229892,400977
SM10229893,400992
SM10229895,400831
SM10229896,400938
SM10229897,400896
SM10229898,400913
SM10229899,400996
SM10229900,400892
SM10229901,400642
SM10229902,400409
SM10229903,400435
SM10229904,400461
SM10229905,400499
SM10229907,400421
SM10229908,400415
SM10229909,400451
SM10229910,400396
SM10229911,400341
SM10229912,400364
SM10229913,400352
SM10229914,400634
SM10229915,400366
SM10229918,400557
SM10229919,400589
SM10229920,400344
SM10229921,400591
SM10229922,400397
SM10229923,400332
SM10229924,400398
SM10229925,400363
SM10229926,400401
SM10229927,400629
SM10229928,400378
SM10229929,400369
SM10229930,400624
SM10229931,400916
SM10229933,400962
SM10229934,400869
SM10229935,400950
SM10229936,400956
SM10229937,400917
SM10229938,400866
SM10229939,400920
SM10229940,400858
SM10229941,400023
SM10229942,400054
SM10229943,400083
SM10229944,400025
SM10229945,400099
SM10229946,400252
SM10229947,400243
SM10229948,400167
SM10229949,400120
SM10229952,400335
SM10229953,400577
SM10229954,400333
SM10229955,400374
SM10229956,400373
SM10229957,400450
SM10229958,400653
SM10229960,400381
SM30044017,400887
SM30044018,400923
SM30044019,400821
SM30044020,400886
SM30044021,400908
SM30044022,400942
SM30044047,400266
SM30044048,400215
SM30044049,400279
SM30044050,400359
SM30044051,400562
SM30044052,400444
SM30044053,400549
SM30044054,400520
SM30044055,400492
SM30044056,400457
SM30044057,400439
SM30044058,400425
��,400062
��,400142
��,400231
��,400242
��,400312
��,400326
��,400411
��,400413
��,400526
��,400543
��,400548
��,400579
��,400626
��,400632
��,400692
��,400968
��,400973
